Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
KDD98 Multiclass 3,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,5.2977191511481605,19,2.05322992306e-05,9.75111264879369,19,3.94320565089e-09,-21.189368471367253,19,1.0
KDD98 Multiclass 3,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,8.141402779974795,19,6.45340034744e-08,8.911476396601818,19,1.62807938242e-08,-9.50638685831352,19,0.99999999409
KDD98 Multiclass 3,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Chi Square,1.0195012617037071,19,0.160385955764,-1.7196576501788743,19,0.949128386858,12.156722204591766,19,1.04017683356e-10
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,-18.960521445897733,19,1.0,-19.225667043359987,19,1.0,-7.953348022804702,19,0.999999908607
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree PC-ext,-15.175495679305484,19,0.999999999998,-14.86649036151428,19,0.999999999997,-15.871118178018008,19,0.999999999999
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-12.516295496386183,19,0.999999999937,-11.789584769768048,19,0.999999999825,-13.339075722217649,19,0.999999999979
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree Twoing - Conditional Inference Tree PC-ext,-1.3012257927264599,19,0.895629939247,-1.5348421441649156,19,0.929346407013,-8.416195784547819,19,0.999999960864
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Chi Square,3.6379737204554012,19,0.000875211294144,3.6944893016258575,19,0.00076947712668,-2.111090492621609,19,0.975879032932
Reuters Phonemes 10000 samples 15 classes,None,Conditional Inference Tree PC-ext - Conditional Inference Tree LS Chi Square,5.053095247266331,19,3.53103578415e-05,5.312518991460411,19,1.98735488327e-05,8.243255591333359,19,5.35525336298e-08
Cover Type,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cover Type,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree PC-ext,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cover Type,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cover Type,None,Conditional Inference Tree Twoing - Conditional Inference Tree PC-ext,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cover Type,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Chi Square,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cover Type,None,Conditional Inference Tree PC-ext - Conditional Inference Tree LS Chi Square,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cars with Aggreg,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,-28.868348905450773,19,1.0,-28.868348905450773,19,1.0,19.069418246468253,19,3.78586051397e-14
Cars with Aggreg,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree PC-ext,-29.416530895820816,19,1.0,-29.416530895820816,19,1.0,19.571459431230426,19,2.35367281221e-14
Cars with Aggreg,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,-32.2976601604045,19,1.0,-32.2976601604045,19,1.0,18.22130652949765,19,8.5931262106e-14
Cars with Aggreg,None,Conditional Inference Tree Twoing - Conditional Inference Tree PC-ext,0.38544320456378195,19,0.352095219656,0.38544320456378195,19,0.352095219656,1.2853691738657411,19,0.107055364692
Cars with Aggreg,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Chi Square,-2.7894542512564064,19,0.994155496412,-2.7894542512564064,19,0.994155496412,-1.9826836568264483,19,0.968974614814
Cars with Aggreg,None,Conditional Inference Tree PC-ext - Conditional Inference Tree LS Chi Square,-3.5837934397778164,19,0.999009941569,-3.5837934397778164,19,0.999009941569,-2.2233059688881576,19,0.980738014969
KDD98 Multiclass 9,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,5.266650854705401,19,2.19886850675e-05,9.033098830198805,19,1.3188107828e-08,-26.46892584387957,19,1.0
KDD98 Multiclass 9,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree PC-ext,8.59153942683282,19,2.85878295481e-08,13.934909804396261,19,9.97979476836e-12,-25.83249306898238,19,1.0
KDD98 Multiclass 9,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,3.14130818271762,19,0.00268798069834,5.525922333191098,19,1.2450847078e-05,-13.071510910166873,19,0.99999999997
KDD98 Multiclass 9,None,Conditional Inference Tree Twoing - Conditional Inference Tree PC-ext,4.406350818250506,19,0.00015165351504,3.777263506012779,19,0.000637101475897,-8.383260108277703,19,0.999999958468
KDD98 Multiclass 9,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Chi Square,-3.8690278044909605,19,0.999483309675,-5.55512947847987,19,0.999988316448,16.44010758862698,19,5.43010081344e-13
KDD98 Multiclass 9,None,Conditional Inference Tree PC-ext - Conditional Inference Tree LS Chi Square,-6.422880873986631,19,0.999998149358,-8.060858785900047,19,0.999999925137,17.005582173166623,19,2.96984659087e-13
KDD98 Multiclass 5,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree Twoing,6.179454401724464,19,3.07365956043e-06,9.507542364214236,19,5.89848470067e-09,-20.416116057800586,19,1.0
KDD98 Multiclass 5,None,Conditional Inference Tree LS Squared Gini - Conditional Inference Tree LS Chi Square,1.6917118753513525,19,0.0535187611791,4.0065921224706775,19,0.00037737069824,-6.335243460427914,19,0.99999778048
