Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
San Francisco Crime 15 classes,None,Conditional Inference Tree Hypercube Cover - Conditional Inference Tree PC-ext,0.982211315915427,19,0.169169233872,0.982211315915427,19,0.169169233872,1.5824659911472374,19,0.065023502485
San Francisco Crime 15 classes,None,Conditional Inference Tree Hypercube Cover - Conditional Inference Tree LS Chi Square,-0.6086702209366158,19,0.725024205567,-0.6086702209366158,19,0.725024205567,-6.561003136049138,19,0.999998607462
San Francisco Crime 15 classes,None,Conditional Inference Tree Hypercube Cover - Conditional Inference Tree Twoing,1.0249123400987799,19,0.159138635993,1.0249123400987799,19,0.159138635993,2.1668034716418805,19,0.0215840160838
San Francisco Crime 15 classes,None,Conditional Inference Tree Hypercube Cover - Conditional Inference Tree LS Squared Gini,1.7231937866035483,19,0.0505448097932,1.7231937866035483,19,0.0505448097932,-58.0802702428644,19,1.0
San Francisco Crime 15 classes,None,Conditional Inference Tree PC-ext - Conditional Inference Tree LS Chi Square,-0.742094305194731,19,0.766447159152,-0.742094305194731,19,0.766447159152,-7.033382434508898,19,0.999999463264
San Francisco Crime 15 classes,None,Conditional Inference Tree PC-ext - Conditional Inference Tree Twoing,0.8749791834540022,19,0.196255975913,0.8749791834540022,19,0.196255975913,1.9437494718914878,19,0.0334434422303
San Francisco Crime 15 classes,None,Conditional Inference Tree PC-ext - Conditional Inference Tree LS Squared Gini,1.6162229555887293,19,0.0612645796456,1.6162229555887293,19,0.0612645796456,-57.705040045756625,19,1.0
San Francisco Crime 15 classes,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree Twoing,1.6661883152655799,19,0.0560385969241,1.6661883152655799,19,0.0560385969241,9.189373406267215,19,1.00873918107e-08
San Francisco Crime 15 classes,None,Conditional Inference Tree LS Chi Square - Conditional Inference Tree LS Squared Gini,2.5687761497844166,19,0.00939724867025,2.5687761497844166,19,0.00939724867025,-57.96783629972398,19,1.0
San Francisco Crime 15 classes,None,Conditional Inference Tree Twoing - Conditional Inference Tree LS Squared Gini,0.8952132288122951,19,0.190937248044,0.8952132288122951,19,0.190937248044,-67.20014099399934,19,1.0
Contraceptive with Aggreg,None,Conditional Inference Tree Hypercube Cover - Conditional Inference Tree PC-ext,0.5077630526540351,19,0.308731669015,0.45221557288920944,19,0.3281170812,1.5502135514905437,19,0.0687936475999
Contraceptive with Aggreg,None,Conditional Inference Tree Hypercube Cover - Conditional Inference Tree LS Chi Square,-3.172818326936109,19,0.997494923528,-3.3230450530262763,19,0.998212613654,4.938619689827737,19,4.55964034349e-05
Contraceptive with Aggreg,None,Conditional Inference Tree Hypercube Cover - Conditional Inference Tree Twoing,-0.6282647483334197,19,0.731344927126,-0.6854919369723147,19,0.749343773506,1.205163099626978,19,0.121468308255
Contraceptive with Aggreg,None,Conditional Inference Tree Hypercube Cover - Conditional Inference Tree LS Squared Gini,-3.1247136499659263,19,0.997210529734,-3.1287680390593855,19,0.997235664805,-0.2978290575878745,19,0.615467081237
Contraceptive with Aggreg,None,Conditional Inference Tree PC-ext - Conditional Inference Tree LS Chi Square,-3.1783045841226536,19,0.997525503926,-3.2867254860179624,19,0.998060193555,3.4400061176750443,19,0.00137217974121
