Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Contraceptive with Aggreg,None,LS Chi Square - Hypercube Cover,-2.7050833897153863,19,0.992982754346,-2.4654010592292495,19,0.988309234904,-8.257886113167764,19,0.999999947857
Contraceptive with Aggreg,None,LS Chi Square - PC-ext,0.27063119935096364,19,0.394796371914,0.5172064446000924,19,0.305490490695,-8.260812383151386,19,0.999999948135
Contraceptive with Aggreg,None,LS Chi Square - LS Squared Gini,1.3722090553853348,19,0.0929914508495,1.591444924614145,19,0.0640052491182,-24.894046275781236,19,1.0
Contraceptive with Aggreg,None,LS Chi Square - Twoing,0.22377963961694272,19,0.412658682079,0.2775761631620776,19,0.392167752283,-18.488818113193297,19,1.0
Contraceptive with Aggreg,None,Hypercube Cover - PC-ext,3.1507391111441985,19,0.00263191482388,3.4545934449081948,19,0.0013275719546,0.19300983857875068,19,0.424499740814
Contraceptive with Aggreg,None,Hypercube Cover - LS Squared Gini,3.620173984704547,19,0.000911405736404,3.790698797781587,19,0.000617864277271,-13.213605837655441,19,0.999999999975
Contraceptive with Aggreg,None,Hypercube Cover - Twoing,2.390678097974645,19,0.0136647463867,2.398066049894182,19,0.013456541668,-12.614793770072787,19,0.999999999945
Contraceptive with Aggreg,None,PC-ext - LS Squared Gini,1.287124925207994,19,0.106755403617,1.3267709810791495,19,0.100155289922,-15.741662467383362,19,0.999999999999
Contraceptive with Aggreg,None,PC-ext - Twoing,-0.02125937975303977,19,0.50836978784,-0.1973952973297763,19,0.577192694294,-9.802434788153807,19,0.999999996374
Contraceptive with Aggreg,None,LS Squared Gini - Twoing,-1.0827092184333478,19,0.853756300395,-1.2561800212722278,19,0.887861156581,0.21626497125397562,19,0.415543084485
KDD98 Multiclass 2,None,LS Chi Square - Hypercube Cover,-5.452297229613681,19,0.99998537764,-3.097146470023438,19,0.997033634172,25.4132625190381,19,2.22044604925e-16
KDD98 Multiclass 2,None,LS Chi Square - PC-ext,-12.21645669918797,19,0.999999999904,-9.729520064142626,19,0.999999995915,32.27069644760602,19,0.0
