Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes,Number of times is statistically worse with missing values,Number of times is statistically worse without missing values,Number of times has statistically smaller number of nodes
Adult Census Income,None,Hypercube Cover,2,2,2,0,0,1
Adult Census Income,None,LS Chi Square,0,0,0,3,3,3
Adult Census Income,None,LS Squared Gini,0,0,0,3,3,3
Adult Census Income,None,PC-ext,2,2,4,0,0,0
Adult Census Income,None,Twoing,2,2,2,0,0,1
Cars,None,Hypercube Cover,0,0,0,0,0,2
Cars,None,LS Chi Square,0,0,3,0,0,1
Cars,None,LS Squared Gini,0,0,4,0,0,0
Cars,None,PC-ext,0,0,0,0,0,2
Cars,None,Twoing,0,0,0,0,0,2
Cars with Aggreg,None,Hypercube Cover,0,0,0,0,0,1
Cars with Aggreg,None,LS Chi Square,1,1,0,0,0,1
Cars with Aggreg,None,LS Squared Gini,0,0,4,1,1,0
Cars with Aggreg,None,PC-ext,0,0,0,0,0,1
Cars with Aggreg,None,Twoing,0,0,0,0,0,1
Contraceptive,None,Hypercube Cover,0,0,0,0,0,1
Contraceptive,None,LS Chi Square,1,1,0,0,0,2
Contraceptive,None,LS Squared Gini,0,0,4,0,0,0
Contraceptive,None,PC-ext,0,0,0,0,0,1
Contraceptive,None,Twoing,0,0,1,1,1,1
Contraceptive with Aggreg,None,Hypercube Cover,0,0,1,2,2,1
Contraceptive with Aggreg,None,LS Chi Square,0,0,1,0,1,1
Contraceptive with Aggreg,None,LS Squared Gini,3,4,4,0,0,0
Contraceptive with Aggreg,None,PC-ext,2,2,0,1,1,4
Contraceptive with Aggreg,None,Twoing,0,0,1,2,2,1
Cover Type,None,Hypercube Cover,3,3,2,0,0,1
Cover Type,None,LS Chi Square,0,0,0,4,4,4
Cover Type,None,LS Squared Gini,2,2,4,2,2,0
Cover Type,None,PC-ext,3,3,2,0,0,1
Cover Type,None,Twoing,1,1,1,3,3,3
Cover Type with Aggreg,None,Hypercube Cover,1,1,1,0,0,3
Cover Type with Aggreg,None,LS Chi Square,0,0,2,4,4,2
Cover Type with Aggreg,None,LS Squared Gini,1,1,4,0,0,0
Cover Type with Aggreg,None,PC-ext,1,1,3,0,0,1
Cover Type with Aggreg,None,Twoing,1,1,0,0,0,4
KDD98 Multiclass 2,None,Hypercube Cover,0,0,3,2,3,0
KDD98 Multiclass 2,None,LS Chi Square,0,2,1,1,1,3
KDD98 Multiclass 2,None,LS Squared Gini,4,4,0,0,0,4
KDD98 Multiclass 2,None,PC-ext,2,2,2,1,1,2
KDD98 Multiclass 2,None,Twoing,0,0,3,2,3,0
KDD98 Multiclass 9,None,Hypercube Cover,0,0,4,3,4,0
KDD98 Multiclass 9,None,LS Chi Square,4,4,1,0,0,3
KDD98 Multiclass 9,None,LS Squared Gini,0,2,0,3,1,4
KDD98 Multiclass 9,None,PC-ext,2,1,3,1,2,1
KDD98 Multiclass 9,None,Twoing,2,1,2,1,1,2
Mushroom,None,Hypercube Cover,1,1,0,0,0,2
Mushroom,None,LS Chi Square,0,0,4,3,3,0
Mushroom,None,LS Squared Gini,0,0,3,0,0,1
Mushroom,None,PC-ext,1,1,0,0,0,2
Mushroom,None,Twoing,1,1,0,0,0,2
Nursery,None,Hypercube Cover,1,1,0,1,1,1
Nursery,None,LS Chi Square,4,4,0,0,0,1
Nursery,None,LS Squared Gini,0,0,4,4,4,0
Nursery,None,PC-ext,1,1,0,2,2,1
Nursery,None,Twoing,2,2,0,1,1,1
Nursery with Aggreg,None,Hypercube Cover,1,1,0,1,1,1
Nursery with Aggreg,None,LS Chi Square,4,4,0,0,0,1
Nursery with Aggreg,None,LS Squared Gini,0,0,4,4,4,0
Nursery with Aggreg,None,PC-ext,1,1,0,1,1,1
Nursery with Aggreg,None,Twoing,1,1,0,1,1,1
Poker Hand,None,Hypercube Cover,2,2,2,0,0,0
Poker Hand,None,LS Chi Square,1,1,0,3,3,4
Poker Hand,None,LS Squared Gini,0,0,2,4,4,0
Poker Hand,None,PC-ext,2,2,2,0,0,0
Poker Hand,None,Twoing,2,2,1,0,0,3
Reuters Phonemes 10000 samples 15 classes,None,Hypercube Cover,3,3,4,0,0,0
Reuters Phonemes 10000 samples 15 classes,None,LS Chi Square,0,0,2,3,4,2
Reuters Phonemes 10000 samples 15 classes,None,LS Squared Gini,0,1,0,3,3,4
Reuters Phonemes 10000 samples 15 classes,None,PC-ext,3,3,3,0,0,1
Reuters Phonemes 10000 samples 15 classes,None,Twoing,2,2,1,2,2,3
San Francisco Crime,None,LS Chi Square,1,1,0,0,0,1
San Francisco Crime,None,LS Squared Gini,0,0,1,1,1,0
San Francisco Crime 15 classes,None,Hypercube Cover,1,1,0,0,0,1
San Francisco Crime 15 classes,None,LS Chi Square,1,1,0,0,0,1
San Francisco Crime 15 classes,None,LS Squared Gini,0,0,4,4,4,0
San Francisco Crime 15 classes,None,PC-ext,1,1,0,0,0,1
San Francisco Crime 15 classes,None,Twoing,1,1,0,0,0,1
Shelter Animal Outcomes,None,LS Chi Square,1,1,0,0,0,1
Shelter Animal Outcomes,None,LS Squared Gini,0,0,1,1,1,0
Shelter Animal Outcomes 15 classes,None,Hypercube Cover,1,1,4,3,3,0
Shelter Animal Outcomes 15 classes,None,LS Chi Square,4,4,0,0,0,4
Shelter Animal Outcomes 15 classes,None,LS Squared Gini,0,0,3,4,4,1
Shelter Animal Outcomes 15 classes,None,PC-ext,2,3,2,1,1,2
Shelter Animal Outcomes 15 classes,None,Twoing,2,2,1,1,2,3
