Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2017-12-13 01:40:58.573932,Adult Census Income,30162,1,PC-ext,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.235015750000457,75.10775147536636,82.4348518002785,82.42736177984393,47,0.15582521052980572,6.0,6,6,0,95.0,99,89,11.6666666667,12,11,105.333333333
2017-12-13 01:41:02.626203,Adult Census Income,30162,2,PC-ext,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,4.0511231329983275,75.10775147536636,82.3751740600756,82.37851832182687,34,0.11272462038326371,6.0,6,6,0,100.333333333,119,89,11.0,13,9,113.333333333
2017-12-13 01:41:06.448741,Adult Census Income,30162,3,PC-ext,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.821175143999426,75.10775147536636,82.53763013062795,82.53667928035584,36,0.11935548040580864,6.0,6,6,0,87.6666666667,89,87,11.3333333333,12,11,115.333333333
2017-12-13 01:41:10.400375,Adult Census Income,30162,4,PC-ext,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.9504551569989417,75.10775147536636,82.69677077116901,82.69588313413014,42,0.1392480604734434,6.0,6,6,0,98.3333333333,111,87,10.3333333333,11,10,112.666666667
2017-12-13 01:41:14.273413,Adult Census Income,30162,5,PC-ext,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.871745885000564,75.10775147536636,82.63377760095484,82.63872745990103,49,0.16245607055235065,6.0,6,6,0,90.3333333333,97,83,10.6666666667,11,10,115.333333333
2017-12-13 01:41:18.129692,Adult Census Income,30162,6,PC-ext,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.855070411998895,75.10775147536636,82.46800610039122,82.46580799362634,38,0.12598634042835355,6.0,6,6,0,93.0,111,79,10.6666666667,11,10,120.0
2017-12-13 01:41:22.021634,Adult Census Income,30162,7,PC-ext,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.890743087998999,75.10775147536636,82.50447583051522,82.49377386684377,47,0.15582521052980572,6.0,6,6,0,90.3333333333,111,69,10.6666666667,12,9,119.333333333
2017-12-13 01:41:25.847827,Adult Census Income,30162,8,PC-ext,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.824962744001823,75.10775147536636,82.52436841058285,82.52746158696446,29,0.0961474703269014,6.0,6,6,0,91.6666666667,93,91,10.0,11,9,108.666666667
2017-12-13 01:41:29.750854,Adult Census Income,30162,9,PC-ext,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.901796504000231,75.10775147536636,82.48789868045885,82.47391853279288,64,0.21218752072143757,6.0,6,6,0,95.6666666667,105,85,10.6666666667,11,10,106.0
2017-12-13 01:41:33.675321,Adult Census Income,30162,10,PC-ext,16,3,True,False,1,False,None,True,0.1,15,8.0,8.0,0.0,3.9232710800024506,75.10775147536636,82.40501293017704,82.41619648191171,32,0.10609376036071878,6.0,6,6,0,96.3333333333,103,87,10.6666666667,12,9,110.666666667
