Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes,Number of times is statistically worse with missing values,Number of times is statistically worse without missing values,Number of times has statistically smaller number of nodes
Adult Census Income,None,LS Chi Square,2,2,2,0,0,1
Adult Census Income,None,LS Squared Gini,0,0,3,3,3,0
Adult Census Income,None,PC-ext,2,2,0,0,0,3
Adult Census Income,None,Twoing,1,1,1,2,2,2
Contraceptive,None,LS Chi Square,1,1,0,0,0,3
Contraceptive,None,LS Squared Gini,0,0,2,3,3,0
Contraceptive,None,PC-ext,1,1,1,0,0,2
Contraceptive,None,Twoing,1,1,2,0,0,0
Contraceptive with Aggreg,None,LS Chi Square,0,0,0,0,0,3
Contraceptive with Aggreg,None,LS Squared Gini,0,0,2,0,0,0
Contraceptive with Aggreg,None,PC-ext,0,0,1,0,0,2
Contraceptive with Aggreg,None,Twoing,0,0,2,0,0,0
Cover Type,None,LS Chi Square,0,0,0,3,3,3
Cover Type,None,LS Squared Gini,3,3,3,0,0,0
Cover Type,None,PC-ext,2,2,2,1,1,1
Cover Type,None,Twoing,1,1,1,2,2,2
Cover Type with Aggreg,None,LS Chi Square,0,0,0,3,3,3
Cover Type with Aggreg,None,LS Squared Gini,3,3,3,0,0,0
Cover Type with Aggreg,None,PC-ext,1,1,1,2,2,2
Cover Type with Aggreg,None,Twoing,2,2,2,1,1,1
KDD98 Multiclass 2,None,LS Chi Square,0,0,3,3,1,0
KDD98 Multiclass 2,None,LS Squared Gini,1,0,2,2,1,1
KDD98 Multiclass 2,None,PC-ext,3,3,0,0,0,3
KDD98 Multiclass 2,None,Twoing,2,0,1,1,1,2
KDD98 Multiclass 3,None,LS Chi Square,2,2,0,0,0,2
KDD98 Multiclass 3,None,LS Squared Gini,0,0,2,2,1,0
KDD98 Multiclass 3,None,Twoing,1,0,1,1,1,1
KDD98 Multiclass 5,None,LS Chi Square,2,2,0,0,0,2
KDD98 Multiclass 5,None,LS Squared Gini,0,0,2,2,2,0
KDD98 Multiclass 5,None,Twoing,1,1,1,1,1,1
KDD98 Multiclass 9,None,LS Chi Square,3,3,0,0,0,3
KDD98 Multiclass 9,None,LS Squared Gini,0,0,3,3,2,0
KDD98 Multiclass 9,None,PC-ext,2,2,1,1,1,2
KDD98 Multiclass 9,None,Twoing,1,0,2,2,2,1
San Francisco Crime,None,LS Chi Square,1,1,0,0,0,1
San Francisco Crime,None,LS Squared Gini,0,0,1,1,1,0
San Francisco Crime 10 classes,None,LS Chi Square,2,2,0,0,0,2
San Francisco Crime 10 classes,None,LS Squared Gini,1,1,2,1,1,0
San Francisco Crime 10 classes,None,Twoing,0,0,1,2,2,1
San Francisco Crime 15 classes,None,LS Chi Square,2,2,0,0,0,3
San Francisco Crime 15 classes,None,LS Squared Gini,1,1,3,2,2,0
San Francisco Crime 15 classes,None,PC-ext,2,2,1,0,0,2
San Francisco Crime 15 classes,None,Twoing,0,0,2,3,3,1
Shelter Animal Outcomes,None,LS Chi Square,1,1,0,0,0,1
Shelter Animal Outcomes,None,LS Squared Gini,0,0,1,1,1,0
Shelter Animal Outcomes 10 classes,None,LS Chi Square,2,2,0,0,0,2
Shelter Animal Outcomes 10 classes,None,LS Squared Gini,0,0,2,2,2,0
Shelter Animal Outcomes 10 classes,None,Twoing,1,1,1,1,1,1
Shelter Animal Outcomes 15 classes,None,LS Chi Square,3,3,0,0,0,3
Shelter Animal Outcomes 15 classes,None,LS Squared Gini,0,0,3,3,3,0
Shelter Animal Outcomes 15 classes,None,PC-ext,1,1,1,1,1,2
Shelter Animal Outcomes 15 classes,None,Twoing,1,1,2,1,1,1
