Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
KDD98 Multiclass 2,None,LS Squared Gini - LS Chi Square,2.33273905507046,19,0.015404534333,0.8176251912324726,19,0.211853211936,-16.59667580981013,19,1.0
KDD98 Multiclass 2,None,LS Squared Gini - PC-ext,-13.13251375721114,19,0.999999999972,-10.064414295897947,19,0.999999997627,24.566076951129862,19,3.33066907388e-16
KDD98 Multiclass 2,None,LS Squared Gini - Twoing,-2.963587666410292,19,0.996010513198,-0.7542961242210823,19,0.770040634216,9.944113779772307,19,2.87991297476e-09
KDD98 Multiclass 2,None,LS Chi Square - PC-ext,-12.21645669918797,19,0.999999999904,-9.729520064142626,19,0.999999995915,32.27069644760602,19,0.0
KDD98 Multiclass 2,None,LS Chi Square - Twoing,-4.904092744484764,19,0.999950737674,-1.527960830852183,19,0.928500336773,23.498734339182036,19,7.77156117238e-16
KDD98 Multiclass 2,None,PC-ext - Twoing,9.872153723883395,19,3.23628124299e-09,8.814374026188212,19,1.92883360395e-08,-20.230240737651062,19,1.0
Contraceptive with Aggreg,None,LS Squared Gini - LS Chi Square,-1.3722090553853348,19,0.907008549151,-1.591444924614145,19,0.935994750882,24.894046275781236,19,2.22044604925e-16
Contraceptive with Aggreg,None,LS Squared Gini - PC-ext,-1.287124925207994,19,0.893244596383,-1.3267709810791495,19,0.899844710078,15.741662467383362,19,1.17406084854e-12
Contraceptive with Aggreg,None,LS Squared Gini - Twoing,-1.0827092184333478,19,0.853756300395,-1.2561800212722278,19,0.887861156581,0.21626497125397562,19,0.415543084485
Contraceptive with Aggreg,None,LS Chi Square - PC-ext,0.27063119935096364,19,0.394796371914,0.5172064446000924,19,0.305490490695,-8.260812383151386,19,0.999999948135
Contraceptive with Aggreg,None,LS Chi Square - Twoing,0.22377963961694272,19,0.412658682079,0.2775761631620776,19,0.392167752283,-18.488818113193297,19,1.0
Contraceptive with Aggreg,None,PC-ext - Twoing,-0.02125937975303977,19,0.50836978784,-0.1973952973297763,19,0.577192694294,-9.802434788153807,19,0.999999996374
Shelter Animal Outcomes 15 classes,None,LS Squared Gini - LS Chi Square,-32.27406236020358,19,1.0,-24.630248095315565,19,1.0,49.40652567888483,19,0.0
Shelter Animal Outcomes 15 classes,None,LS Squared Gini - PC-ext,-22.2604592906494,19,1.0,-19.83063115402771,19,1.0,33.63289529314423,19,0.0
Shelter Animal Outcomes 15 classes,None,LS Squared Gini - Twoing,-20.93896432463131,19,1.0,-18.038519290860368,19,1.0,26.415404778994727,19,1.11022302463e-16
Shelter Animal Outcomes 15 classes,None,LS Chi Square - PC-ext,7.798957616442511,19,1.22038943284e-07,6.075156718213329,19,3.82892650141e-06,-20.216421860822997,19,1.0
Shelter Animal Outcomes 15 classes,None,LS Chi Square - Twoing,7.944528001224604,19,9.29070218536e-08,5.524895562974963,19,1.24787411394e-05,-36.932086533584965,19,1.0
Shelter Animal Outcomes 15 classes,None,PC-ext - Twoing,0.3606635376133301,19,0.361164843673,0.08369243963215468,19,0.467088235863,-14.319242098120636,19,0.999999999994
San Francisco Crime 10 classes,None,LS Squared Gini - Twoing,4.979995235600427,19,4.1566448055e-05,4.992029678208419,19,4.04637515206e-05,473.1672234564596,19,0.0
San Francisco Crime 10 classes,None,LS Squared Gini - LS Chi Square,-33.52443979945386,19,1.0,-33.50429944863534,19,1.0,357.25867177209346,19,0.0
San Francisco Crime 10 classes,None,Twoing - LS Chi Square,-38.24334781996304,19,1.0,-38.22700664855071,19,1.0,89.96190452298954,19,0.0
Shelter Animal Outcomes 10 classes,None,LS Squared Gini - Twoing,-18.946395224036262,19,1.0,-15.883328050983096,19,0.999999999999,26.969061419947238,19,0.0
Shelter Animal Outcomes 10 classes,None,LS Squared Gini - LS Chi Square,-46.04188723595977,19,1.0,-34.561727094296955,19,1.0,80.01258563290386,19,0.0
Shelter Animal Outcomes 10 classes,None,Twoing - LS Chi Square,-9.937805037300157,19,0.999999997091,-7.873082347170608,19,0.999999893823,26.723263059472615,19,1.11022302463e-16
San Francisco Crime,None,LS Squared Gini - LS Chi Square,-10.5932271284452,19,0.999999998968,-10.600692539322198,19,0.99999999898,581.1782946776455,19,0.0
Cover Type with Aggreg,None,LS Squared Gini - LS Chi Square,242.13899790716636,19,0.0,242.4648318418109,19,0.0,602.048551878026,19,0.0
Cover Type with Aggreg,None,LS Squared Gini - PC-ext,101.81441784871866,19,0.0,101.79078702065303,19,0.0,529.9090606605953,19,0.0
Cover Type with Aggreg,None,LS Squared Gini - Twoing,112.77017781069459,19,0.0,112.89176104360484,19,0.0,542.4584837973875,19,0.0
Cover Type with Aggreg,None,LS Chi Square - PC-ext,-118.83308102839685,19,1.0,-118.83117980877024,19,1.0,-180.79812216697297,19,1.0
Cover Type with Aggreg,None,LS Chi Square - Twoing,-141.91187019620807,19,1.0,-141.94328825752962,19,1.0,-231.94411568313407,19,1.0
Cover Type with Aggreg,None,PC-ext - Twoing,-18.429214700012356,19,1.0,-18.41951769742576,19,1.0,-2.574088394411235,19,0.990708319878
Contraceptive,None,LS Squared Gini - LS Chi Square,-2.039613633963783,19,0.972229283456,-2.0949443033357618,19,0.975094789675,14.745166577672311,19,3.71869202098e-12
Contraceptive,None,LS Squared Gini - PC-ext,-3.890721054619988,19,0.999508284043,-3.8215071721400258,19,0.99942409261,7.857745943252102,19,1.09273657123e-07
Contraceptive,None,LS Squared Gini - Twoing,-3.2261733060592785,19,0.997777314622,-3.2681072119329584,19,0.997977193098,-0.7369937939849969,19,0.764935119188
Contraceptive,None,LS Chi Square - PC-ext,-0.7249743624822527,19,0.761348954362,-0.6584303991684008,19,0.740919314309,-10.904793085827954,19,0.999999999359
Contraceptive,None,LS Chi Square - Twoing,-0.3972214803229696,19,0.652184485035,-0.38530757106111846,19,0.647855377668,-19.084268924644054,19,1.0
Contraceptive,None,PC-ext - Twoing,0.6734909198277559,19,0.254372788848,0.576806044148339,19,0.285420964266,-9.379651075938515,19,0.999999992692
KDD98 Multiclass 9,None,LS Squared Gini - LS Chi Square,-30.639167150104903,19,1.0,-34.10959542294184,19,1.0,173.43783962403185,19,0.0
