Date Time,Dataset,Total Number of Samples,Trial Number,Criterion,Maximum Depth Allowed,Number of folds,Is stratified?,Use Numeric Attributes?,Number of Samples Forcing a Leaf,Use Min Samples in Second Largest Class?,Min Samples in Second Largest Class,Uses Chi-Square Test,Maximum p-value Allowed by Chi-Square Test [between 0 and 1],Minimum Number in Second Most Frequent Value,Average Number of Valid Attributes in Root Node (m),Average Number of Valid Nominal Attributes in Root Node (m_nom),Average Number of Valid Numeric Attributes in Root Node (m_num),Total Time Taken for Cross-Validation [s],Accuracy Percentage on Trivial Trees (with no splits),Accuracy Percentage (with missing values),Accuracy Percentage (without missing values),Number of Samples Classified using Unkown Value,Percentage of Samples with Unkown Values for Accepted Attribute,Average Number of Values of Attribute Chosen at Root Node,Maximum Number of Values of Attribute Chosen at Root Node,Minimum Number of Values of Attribute Chosen at Root Node,Number of Trivial Splits [between 0 and number of folds],Average Number of Nodes (after prunning),Maximum Number of Nodes (after prunning),Minimum Number of Nodes (after prunning),Average Tree Depth (after prunning),Maximum Tree Depth (after prunning),Minimum Tree Depth (after prunning),Average Number of Nodes Pruned
2017-12-12 13:33:27.648109,Reuters Phonemes 10000 samples 15 classes,10000,1,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,844.3156615829794,15.41,23.49,23.59584551779772,83,0.83,39.0,39,39,0,55.6666666667,59,51,5.0,5,5,5.33333333333
2017-12-12 13:47:15.750316,Reuters Phonemes 10000 samples 15 classes,10000,2,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,828.1013531739591,15.41,24.56,24.677549375251914,76,0.76,39.0,39,39,0,58.3333333333,61,57,5.0,5,5,4.0
2017-12-12 14:00:29.319194,Reuters Phonemes 10000 samples 15 classes,10000,3,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,793.5680546290241,15.41,22.85,22.971612643446747,66,0.66,39.0,39,39,0,56.3333333333,59,53,5.0,5,5,5.33333333333
2017-12-12 14:14:03.165277,Reuters Phonemes 10000 samples 15 classes,10000,4,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,813.8452997950371,15.41,23.62,23.767178658043655,104,1.04,39.0,39,39,0,59.0,61,57,5.0,5,5,2.66666666667
2017-12-12 14:26:12.389209,Reuters Phonemes 10000 samples 15 classes,10000,5,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,729.2231649289606,15.41,23.05,23.10789049919485,64,0.64,39.0,39,39,0,56.3333333333,59,53,5.0,5,5,4.0
2017-12-12 14:39:24.754838,Reuters Phonemes 10000 samples 15 classes,10000,6,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,792.3648545360193,15.41,23.05,23.195876288659793,106,1.06,38.6666666667,39,38,0,59.0,59,59,5.0,5,5,4.0
2017-12-12 14:52:34.641136,Reuters Phonemes 10000 samples 15 classes,10000,7,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,789.8855000149924,15.41,24.17,24.301704144398506,83,0.83,39.0,39,39,0,56.3333333333,59,53,5.0,5,5,3.33333333333
2017-12-12 15:05:33.376965,Reuters Phonemes 10000 samples 15 classes,10000,8,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,778.735041221953,15.41,22.49,22.594943084516974,73,0.73,39.0,39,39,0,58.3333333333,61,57,5.0,5,5,2.66666666667
2017-12-12 15:18:18.534826,Reuters Phonemes 10000 samples 15 classes,10000,9,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,765.1571019319817,15.41,22.76,22.900686314089626,92,0.92,39.0,39,39,0,61.0,63,59,5.0,5,5,2.0
2017-12-12 15:30:30.667091,Reuters Phonemes 10000 samples 15 classes,10000,10,Conditional Inference Tree Twoing,5,3,True,False,1,False,None,True,0.1,15,3.0,3.0,0.0,732.1314949688967,15.41,22.72,22.82170229931424,84,0.84,39.0,39,39,0,56.3333333333,61,49,5.0,5,5,4.0
