Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
Cars with Aggreg,None,Twoing - Hypercube Cover,-1.0000000000000002,19,0.835061599539,-1.0000000000000002,19,0.835061599539,0.0,19,0.5
Cars with Aggreg,None,Twoing - Largest Class Alone,-1.0000000000000002,19,0.835061599539,-1.0000000000000002,19,0.835061599539,0.0,19,0.5
Cars with Aggreg,None,Twoing - GW Squared Gini,-2.376926531402013,19,0.985939701306,-2.376926531402013,19,0.985939701306,-43.789039724497876,19,1.0
Cars with Aggreg,None,Twoing - PC-ext,-1.0000000000000002,19,0.835061599539,-1.0000000000000002,19,0.835061599539,0.0,19,0.5
Cars with Aggreg,None,Twoing - GW Chi Square,-7.933258966612778,19,0.99999990512,-7.933258966612778,19,0.99999990512,-38.11560585950752,19,1.0
Cars with Aggreg,None,Twoing - LS Squared Gini,-3.0459904530835145,19,0.996676048712,-3.0459904530835145,19,0.996676048712,-42.332209313202625,19,1.0
Cars with Aggreg,None,Twoing - LS Chi Square,-11.60171764334382,19,0.999999999771,-11.60171764334382,19,0.999999999771,-55.198814216288746,19,1.0
Cars with Aggreg,None,Hypercube Cover - Largest Class Alone,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cars with Aggreg,None,Hypercube Cover - GW Squared Gini,-2.305880135669045,19,0.983721146203,-2.305880135669045,19,0.983721146203,-43.789039724497876,19,1.0
Cars with Aggreg,None,Hypercube Cover - PC-ext,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cars with Aggreg,None,Hypercube Cover - GW Chi Square,-8.02090760032247,19,0.99999991939,-8.02090760032247,19,0.99999991939,-38.11560585950752,19,1.0
Cars with Aggreg,None,Hypercube Cover - LS Squared Gini,-3.0167078655765938,19,0.996452895562,-3.0167078655765938,19,0.996452895562,-42.332209313202625,19,1.0
Cars with Aggreg,None,Hypercube Cover - LS Chi Square,-11.685306534395467,19,0.999999999797,-11.685306534395467,19,0.999999999797,-55.198814216288746,19,1.0
Cars with Aggreg,None,Largest Class Alone - GW Squared Gini,-2.305880135669045,19,0.983721146203,-2.305880135669045,19,0.983721146203,-43.789039724497876,19,1.0
Cars with Aggreg,None,Largest Class Alone - PC-ext,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Cars with Aggreg,None,Largest Class Alone - GW Chi Square,-8.02090760032247,19,0.99999991939,-8.02090760032247,19,0.99999991939,-38.11560585950752,19,1.0
Cars with Aggreg,None,Largest Class Alone - LS Squared Gini,-3.0167078655765938,19,0.996452895562,-3.0167078655765938,19,0.996452895562,-42.332209313202625,19,1.0
Cars with Aggreg,None,Largest Class Alone - LS Chi Square,-11.685306534395467,19,0.999999999797,-11.685306534395467,19,0.999999999797,-55.198814216288746,19,1.0
Cars with Aggreg,None,GW Squared Gini - PC-ext,2.305880135669045,19,0.0162788537968,2.305880135669045,19,0.0162788537968,43.789039724497876,19,0.0
Cars with Aggreg,None,GW Squared Gini - GW Chi Square,-3.8295893306333304,19,0.999434621357,-3.8295893306333304,19,0.999434621357,24.564256701140735,19,3.33066907388e-16
Cars with Aggreg,None,GW Squared Gini - LS Squared Gini,-0.08819502603362847,19,0.53467768793,-0.08819502603362847,19,0.53467768793,-2.1269248984829967,19,0.976626311444
Cars with Aggreg,None,GW Squared Gini - LS Chi Square,-6.57885131363112,19,0.999998657462,-6.57885131363112,19,0.999998657462,28.301943396203285,19,0.0
Cars with Aggreg,None,PC-ext - GW Chi Square,-8.02090760032247,19,0.99999991939,-8.02090760032247,19,0.99999991939,-38.11560585950752,19,1.0
Cars with Aggreg,None,PC-ext - LS Squared Gini,-3.0167078655765938,19,0.996452895562,-3.0167078655765938,19,0.996452895562,-42.332209313202625,19,1.0
Cars with Aggreg,None,PC-ext - LS Chi Square,-11.685306534395467,19,0.999999999797,-11.685306534395467,19,0.999999999797,-55.198814216288746,19,1.0
Cars with Aggreg,None,GW Chi Square - LS Squared Gini,3.6177395496871743,19,0.000916469916668,3.6177395496871743,19,0.000916469916668,-26.814893788813684,19,1.0
Cars with Aggreg,None,GW Chi Square - LS Chi Square,-2.9065086886281715,19,0.995475840853,-2.9065086886281715,19,0.995475840853,-1.9259188317987022,19,0.96539423801
Cars with Aggreg,None,LS Squared Gini - LS Chi Square,-6.3728644136506505,19,0.999997947328,-6.3728644136506505,19,0.999997947328,30.788261074535267,19,0.0
Poker Hand,None,Twoing - Hypercube Cover,2.847619834337298,19,0.00514786966846,2.847619834337298,19,0.00514786966846,-1.6496478705438269,19,0.942275012829
Poker Hand,None,Twoing - Largest Class Alone,3.683979693718434,19,0.000788130731506,3.683979693718434,19,0.000788130731506,-2.006625903881255,19,0.970382865291
Poker Hand,None,Twoing - GW Squared Gini,11.09406905417514,19,4.81944151254e-10,11.09406905417514,19,4.81944151254e-10,2.7039328197426933,19,0.00703469256855
Poker Hand,None,Twoing - PC-ext,2.7454547353478103,19,0.00643052750252,2.7454547353478103,19,0.00643052750252,-1.9013427381649641,19,0.963733532035
Poker Hand,None,Twoing - GW Chi Square,1.1225778087315104,19,0.137801411434,1.1225778087315104,19,0.137801411434,1.1785886522081765,19,0.126556072563
Poker Hand,None,Twoing - LS Squared Gini,12.524295464236493,19,6.27039531409e-11,12.524295464236493,19,6.27039531409e-11,2.043968673994407,19,0.0275348474183
Poker Hand,None,Twoing - LS Chi Square,-0.12522677581277378,19,0.549170234389,-0.12522677581277378,19,0.549170234389,2.6228866855669297,19,0.00837299719317
Poker Hand,None,Hypercube Cover - Largest Class Alone,2.0284470986579555,19,0.028383822499,2.0284470986579555,19,0.028383822499,-1.0293102321003615,19,0.841870062656
Poker Hand,None,Hypercube Cover - GW Squared Gini,9.581935105165757,19,5.21201048986e-09,9.581935105165757,19,5.21201048986e-09,3.256871481657595,19,0.00207456783703
Poker Hand,None,Hypercube Cover - PC-ext,-1.0018325102413321,19,0.835493200771,-1.0018325102413321,19,0.835493200771,-1.7886622696345802,19,0.955186787001
Poker Hand,None,Hypercube Cover - GW Chi Square,-0.5893618127455728,19,0.718719166411,-0.5893618127455728,19,0.718719166411,2.544948602167445,19,0.0098848438826
