Dataset,Attribute,Criterion,Number of times is statistically better with missing values,Number of times is statistically better without missing values,Number of times has statistically larger number of nodes,Number of times is statistically worse with missing values,Number of times is statistically worse without missing values,Number of times has statistically smaller number of nodes
Reuters Phonemes 10000 samples 15 classes,None,LS Chi Square,0,0,2,3,3,0
Reuters Phonemes 10000 samples 15 classes,None,LS Squared Gini,1,1,1,2,1,2
Reuters Phonemes 10000 samples 15 classes,None,PC-ext,2,1,0,1,1,3
Reuters Phonemes 10000 samples 15 classes,None,Twoing,3,3,2,0,0,0
San Francisco Crime 15 classes,None,GW Chi Square,2,2,2,0,0,1
San Francisco Crime 15 classes,None,GW Squared Gini,1,1,5,4,4,0
San Francisco Crime 15 classes,None,LS Chi Square,2,2,2,0,0,1
San Francisco Crime 15 classes,None,LS Squared Gini,0,0,0,5,5,5
San Francisco Crime 15 classes,None,PC-ext,2,2,2,0,0,1
San Francisco Crime 15 classes,None,Twoing,2,2,1,0,0,4
Shelter Animal Outcomes 15 classes,None,LS Chi Square,2,2,0,0,0,2
Shelter Animal Outcomes 15 classes,None,LS Squared Gini,0,0,0,3,3,2
Shelter Animal Outcomes 15 classes,None,PC-ext,1,2,3,0,0,0
Shelter Animal Outcomes 15 classes,None,Twoing,1,1,2,1,2,1
