Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
San Francisco Crime 15 classes,None,LS Squared Gini - GW Squared Gini,-4.4921923778502135,19,0.999875216202,-4.4921923778502135,19,0.999875216202,-8.435823373516772,19,0.999999962224
San Francisco Crime 15 classes,None,LS Squared Gini - PC-ext,-302.19333430219115,19,1.0,-302.19333430219115,19,1.0,-9.03133764271437,19,0.999999986772
San Francisco Crime 15 classes,None,LS Squared Gini - Twoing,-324.0906964403256,19,1.0,-324.0906964403256,19,1.0,-7.666184363536152,19,0.999999843107
San Francisco Crime 15 classes,None,LS Squared Gini - GW Chi Square,-313.5168134509428,19,1.0,-313.5168134509428,19,1.0,-9.180800784574048,19,0.999999989764
San Francisco Crime 15 classes,None,LS Squared Gini - LS Chi Square,-375.3964953248046,19,1.0,-375.3964953248046,19,1.0,-11.27523779315153,19,0.999999999632
San Francisco Crime 15 classes,None,GW Squared Gini - PC-ext,-35.00872725958656,19,1.0,-35.00872725958656,19,1.0,3.4476494610345236,19,0.00134862541842
San Francisco Crime 15 classes,None,GW Squared Gini - Twoing,-36.529538271277694,19,1.0,-36.529538271277694,19,1.0,5.091139134369535,19,3.24427558431e-05
San Francisco Crime 15 classes,None,GW Squared Gini - GW Chi Square,-35.93706006002172,19,1.0,-35.93706006002172,19,1.0,3.4876956811141415,19,0.00123158030222
San Francisco Crime 15 classes,None,GW Squared Gini - LS Chi Square,-37.68360756654584,19,1.0,-37.68360756654584,19,1.0,3.886531208658385,19,0.000496443809527
San Francisco Crime 15 classes,None,PC-ext - Twoing,-1.0724093705608035,19,0.851515433535,-1.0724093705608035,19,0.851515433535,3.641772334530547,19,0.000867673540571
San Francisco Crime 15 classes,None,PC-ext - GW Chi Square,0.5525010695796595,19,0.293523359045,0.5525010695796595,19,0.293523359045,-0.22132125836251607,19,0.586398254116
San Francisco Crime 15 classes,None,PC-ext - LS Chi Square,-0.2500669355457454,19,0.597390258389,-0.2500669355457454,19,0.597390258389,-0.24664234016868422,19,0.596084894447
San Francisco Crime 15 classes,None,Twoing - GW Chi Square,1.4608272188001252,19,0.0802016405244,1.4608272188001252,19,0.0802016405244,-4.70193358304548,19,0.999922378375
San Francisco Crime 15 classes,None,Twoing - LS Chi Square,0.8264187385744243,19,0.209412077474,0.8264187385744243,19,0.209412077474,-5.125081236426256,19,0.999969915063
San Francisco Crime 15 classes,None,GW Chi Square - LS Chi Square,-0.9151072255136963,19,0.814198092881,-0.9151072255136963,19,0.814198092881,3.0821525054971527e-11,19,0.499999999988
Reuters Phonemes 10000 samples 15 classes,None,PC-ext - LS Chi Square,5.366537448467906,19,1.76469292281e-05,4.955747966833333,19,4.38819840902e-05,-22.640075832634384,19,1.0
Reuters Phonemes 10000 samples 15 classes,None,PC-ext - LS Squared Gini,2.0653397805338236,19,0.0264033318925,1.344767492978482,19,0.0972674180388,-17.19497933210556,19,1.0
Reuters Phonemes 10000 samples 15 classes,None,PC-ext - Twoing,-2.3176235961680214,19,0.984108924737,-2.9517284591907003,19,0.995904703739,-20.335288993570696,19,1.0
Reuters Phonemes 10000 samples 15 classes,None,LS Chi Square - LS Squared Gini,-5.660537185769059,19,0.999990705347,-5.865552941080116,19,0.999994020785,1.8938175049374695,19,0.0367888839244
Reuters Phonemes 10000 samples 15 classes,None,LS Chi Square - Twoing,-10.26021734477644,19,0.999999998263,-10.037639923481727,19,0.999999997523,-1.2279806627029006,19,0.882774950057
Reuters Phonemes 10000 samples 15 classes,None,LS Squared Gini - Twoing,-4.9466967546864336,19,0.999955220383,-4.845413340693258,19,0.999943805916,-2.849334026740146,19,0.99487140056
Shelter Animal Outcomes 15 classes,None,PC-ext - LS Chi Square,-1.092747785364843,19,0.855916611801,-0.22058327801957792,19,0.586115050803,9.027270027245532,19,1.33213814424e-08
Shelter Animal Outcomes 15 classes,None,PC-ext - LS Squared Gini,19.491291817483674,19,2.54241072639e-14,19.214251166779587,19,3.29736238314e-14,8.291183184186782,19,4.90754165083e-08
Shelter Animal Outcomes 15 classes,None,PC-ext - Twoing,0.8688333715836105,19,0.197890516023,1.8266255315932025,19,0.041755332626,1.8274510994544522,19,0.0416909111272
Shelter Animal Outcomes 15 classes,None,LS Chi Square - LS Squared Gini,18.172224690420432,19,9.0261131902e-14,17.684976237154597,19,1.47104550763e-13,-0.16718073118947335,19,0.56550283554
Shelter Animal Outcomes 15 classes,None,LS Chi Square - Twoing,1.8343868120583453,19,0.0411531220733,2.0451445373327197,19,0.0274714725258,-7.595684427976623,19,0.999999820546
Shelter Animal Outcomes 15 classes,None,LS Squared Gini - Twoing,-18.817936077091616,19,1.0,-18.16954592363251,19,1.0,-6.079107396298778,19,0.999996202904
