Dataset,Attribute,Criterion Difference Name,Paired t-statistics on Accuracy with Missing Values,Degrees of Freedom of Accuracy with Missing Values,P-value t-statistics on Accuracy with Missing Values,Paired t-statistics on Accuracy without Missing Values,Degrees of Freedom of Accuracy without Missing Values,P-value t-statistics on Accuracy without Missing Values,Paired t-statistics on Number of Nodes,Degrees of Freedom of Number of Nodes,P-value t-statistics on Number of Nodes
KDD98 Multiclass 5,None,LS Chi Square - LS Squared Gini,7.619265905351566,19,1.71555522344e-07,5.055916647516252,19,3.50890918416e-05,-9.61689274994587,19,0.999999995081
KDD98 Multiclass 5,None,LS Chi Square - GW Squared Gini,12.545466233460642,19,6.09243766547e-11,7.227837827049386,19,3.65694636351e-07,-10.530172199872723,19,0.999999998862
KDD98 Multiclass 5,None,LS Chi Square - Twoing,3.929515348354531,19,0.000450020302288,6.760999143625918,19,9.26653724087e-07,-5.089848640085447,19,0.999967463971
KDD98 Multiclass 5,None,LS Chi Square - GW Chi Square,-0.0714718066415062,19,0.528115384022,-0.32119951216319026,19,0.624217198776,-0.7486692991053071,19,0.768387684099
KDD98 Multiclass 5,None,LS Squared Gini - GW Squared Gini,-0.07695828662302104,19,0.53026931974,-0.20940277589853543,19,0.581818648484,-1.4637668923937883,19,0.920196769649
KDD98 Multiclass 5,None,LS Squared Gini - Twoing,-6.186140058972283,19,0.999996969183,-1.8946138095841611,19,0.963266709779,8.865880830073896,19,1.76270980035e-08
KDD98 Multiclass 5,None,LS Squared Gini - GW Chi Square,-7.703075822489051,19,0.99999985372,-5.20893300304395,19,0.999975019384,8.616922885338699,19,2.73261012707e-08
KDD98 Multiclass 5,None,GW Squared Gini - Twoing,-6.202608727430089,19,0.999997072114,-1.7594791181781266,19,0.952705466072,7.447110812911768,19,2.38710742173e-07
KDD98 Multiclass 5,None,GW Squared Gini - GW Chi Square,-8.754431308446568,19,0.999999978571,-5.141417411710645,19,0.999970986861,9.399734506239914,19,7.06504699188e-09
KDD98 Multiclass 5,None,Twoing - GW Chi Square,-3.4220675848365323,19,0.998570936263,-7.3300311546980295,19,0.999999700475,3.468988841085053,19,0.0012849531216
Nursery,None,PC-ext - LS Squared Gini,-1.4734096695730319,19,0.921492302869,-1.4734096695730319,19,0.921492302869,1.831103813679221,19,0.0414069212923
Nursery,None,PC-ext - GW Squared Gini,2.2105790908412004,19,0.0197640860217,2.2105790908412004,19,0.0197640860217,-16.222687381234405,19,0.999999999999
Nursery,None,PC-ext - Twoing,0.0,19,0.5,0.0,19,0.5,0.0,19,0.5
Nursery,None,PC-ext - GW Chi Square,2.876023214643685,19,0.00483736431586,2.876023214643685,19,0.00483736431586,-16.403980770654453,19,0.999999999999
Nursery,None,PC-ext - LS Chi Square,3.3221597503467817,19,0.00179095802266,3.3221597503467817,19,0.00179095802266,0.0,19,0.5
Nursery,None,LS Squared Gini - GW Squared Gini,2.498044128567286,19,0.0109151113345,2.498044128567286,19,0.0109151113345,-15.91715793545738,19,0.999999999999
Nursery,None,LS Squared Gini - Twoing,1.4734096695730319,19,0.0785076971311,1.4734096695730319,19,0.0785076971311,-1.831103813679221,19,0.958593078708
Nursery,None,LS Squared Gini - GW Chi Square,2.2486528799250944,19,0.0182967050458,2.2486528799250944,19,0.0182967050458,-16.832051088211337,19,1.0
Nursery,None,LS Squared Gini - LS Chi Square,2.2779314909370765,19,0.0172371820888,2.2779314909370765,19,0.0172371820888,-1.831103813679221,19,0.958593078708
